,NaturalizedCountry2016,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
80,Guatemala,9764,41,9,99,50,3735,70,143,25,15,686,230,0,4,14,330,50,48,26,22,43,2,296,368,37,47,6,38,0,93,230,6,456,26,590,145,2,45,70,132,79,11,251,30,21,85,534,2,0,76,2,299,114,3,14,2,14
81,Guinea,1077,11,0,0,2,17,10,13,0,6,4,69,0,2,2,13,14,7,0,2,2,0,81,38,18,18,3,7,0,0,2,2,35,0,492,13,0,55,2,0,58,0,5,0,2,11,20,0,0,4,0,18,21,2,2,0,3
82,Guinea-Bissau,20,0,0,0,0,2,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0
83,Guyana,5284,3,2,7,4,58,2,88,20,6,435,132,0,2,0,12,4,4,5,6,3,0,133,44,7,52,3,10,0,2,8,0,445,2,3478,37,0,29,2,2,73,3,0,10,0,15,62,0,4,0,0,52,14,2,2,0,5
84,Haiti,15276,8,0,13,0,88,19,343,76,2,7105,293,0,2,3,82,30,7,8,17,43,8,230,1737,32,8,2,38,0,2,14,12,1143,2,2942,86,15,46,22,11,396,6,60,33,2,37,65,4,24,19,0,80,35,3,3,2,21
85,Honduras,5819,19,3,38,14,656,33,54,11,14,1294,145,0,4,4,108,58,16,23,20,229,2,185,175,33,22,20,37,2,20,54,4,387,15,674,198,3,31,23,31,61,9,7,50,2,60,616,2,0,18,2,265,40,2,17,2,10
86,Hong Kong,1662,2,0,16,2,660,10,15,2,4,30,26,2,22,3,23,7,2,8,2,7,0,28,77,19,9,0,9,2,4,20,0,65,0,257,13,0,19,6,22,25,2,3,4,2,3,72,2,0,11,0,29,107,3,5,0,5
87,Hungary,934,2,2,8,2,169,18,21,2,2,184,21,0,5,0,17,6,0,2,2,2,2,19,21,10,7,2,5,0,2,28,3,55,2,132,11,0,18,2,19,23,2,2,6,0,7,38,2,0,6,3,19,27,0,3,0,2
88,Iceland,88,2,0,4,2,12,2,2,0,0,12,2,0,0,2,0,0,0,0,0,0,2,2,4,0,0,2,0,0,0,2,0,2,0,4,0,0,0,2,2,4,0,2,4,0,2,4,0,0,0,0,5,9,2,5,0,1
89,India,46188,288,8,442,145,10298,293,576,194,39,1381,1818,2,19,32,2779,414,131,217,185,168,31,1200,1215,960,370,95,326,12,60,153,114,5312,60,2954,1077,33,943,209,323,1643,5,46,306,16,470,4670,3,2,72,17,1916,1708,40,326,10,61
