,NaturalizedCountry2011,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
94,Italy,2231,15,2,23,2,326,28,53,7,7,270,46,3,10,2,68,12,7,2,9,7,3,45,123,51,9,2,8,2,2,24,7,178,7,387,59,0,33,5,15,115,5,15,15,0,10,63,17,0,12,2,39,45,2,15,0,22
95,Jamaica,14591,14,3,42,7,247,24,635,69,23,4532,804,2,9,2,172,24,10,10,27,17,12,468,422,63,31,16,35,2,2,22,7,850,8,4382,155,2,87,51,11,437,5,19,139,0,34,230,50,8,5,2,187,39,8,35,2,95
96,Japan,1744,7,3,29,3,619,27,15,0,4,67,22,11,156,3,50,4,2,3,7,2,2,23,40,16,7,2,12,2,4,30,7,54,7,170,24,2,14,5,21,21,0,0,13,2,6,63,12,2,13,2,30,85,3,7,2,15
97,Jordan,2345,18,2,26,9,389,7,17,5,2,154,33,0,0,2,356,15,5,16,26,50,2,19,38,97,25,14,23,0,2,3,2,116,6,146,62,4,114,11,9,67,7,3,13,0,45,217,0,4,4,0,56,28,4,28,0,47
98,Kazakhstan,891,7,2,11,2,169,9,2,0,2,67,18,2,2,7,21,3,5,2,4,2,3,19,30,5,21,2,3,0,2,8,2,21,2,148,14,2,16,5,28,30,0,0,18,0,8,32,2,0,2,2,21,105,0,3,2,8
99,Kenya,3621,81,2,77,4,350,34,17,73,6,103,237,0,4,5,66,47,26,92,13,6,11,189,257,35,235,5,75,2,12,22,27,147,7,60,130,2,66,43,23,140,0,5,51,0,36,499,10,0,10,2,93,134,2,20,2,26
100,Kiribati,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
101,"Korea, North",13,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,"Korea, South",12664,76,38,121,12,3854,155,63,32,7,258,594,39,189,13,570,56,23,52,40,23,5,460,201,164,61,10,66,5,14,129,9,978,21,1258,193,2,110,66,102,390,0,7,90,2,84,625,55,8,37,3,566,501,3,45,7,171
103,Kosovo,465,0,0,12,0,10,2,19,2,0,21,10,0,2,2,28,0,5,0,8,0,0,2,9,18,2,2,10,0,0,2,7,25,2,175,2,0,4,2,2,12,0,2,0,0,13,36,2,0,3,0,4,5,0,10,0,1
